team,off_scheme,def_scheme,gm_profile,need_1,need_2,need_3
ARI,spread,4-3,traits_speed,EDGE,CB,DT
ATL,west_coast,3-4,bpa_trenches,EDGE,CB,WR
BAL,multiple_gap,3-4,traits_size,OT,CB,WR
BUF,spread,4-2-5,bpa_analytics,DT,CB,S
CAR,spread,3-4,rebuild_bpa,EDGE,WR,CB
CHI,spread,4-3,bpa_trenches,OT,DT,CB
CIN,shotgun_spread,4-2-5,offense_first,OT,CB,EDGE
CLE,under_center,4-3,physicality,WR,QB,OT
DAL,west_coast,4-3,traits_length,RB,DT,CB
DEN,west_coast,3-4,defense_first,WR,TE,DT
DET,multiple,4-3,trench_focus,EDGE,CB,IOL
GB,west_coast,4-2-5,draft_develop,CB,OT,DT
HOU,shanahan,4-3,bpa_balanced,DT,WR,LB
IND,spread,4-3,athletic_thresholds,TE,CB,EDGE
JAX,spread,3-4,traits_speed,CB,WR,DT
KC,west_coast,4-2-5,bpa_balanced,OT,DT,WR
LAC,vertical,3-4,athletic_length,TE,DT,CB
LAR,shanahan,3-4,bpa_analytics,OT,CB,LB
LV,multiple,4-3,reset_qb,QB,CB,OT
MIA,spread,3-4,speed_priority,OT,DT,S
MIN,multiple,3-4,defense_reset,CB,DT,IOL
NE,multiple,4-3,balanced_value,OT,WR,EDGE
NO,west_coast,4-3,bpa_balanced,QB,EDGE,WR
NYG,multiple,3-4,rebuild_bpa,QB,OT,CB
NYJ,west_coast,4-3,bpa_balanced,OT,WR,S
PHI,multiple,3-4,trench_focus,EDGE,CB,OT
PIT,multiple,3-4,defense_core,DT,OT,WR
SEA,wide_zone,3-4,athletic_length,OT,DT,CB
SF,shanahan,4-3,bpa_balanced,OT,CB,EDGE
TB,multiple,3-4,bpa_balanced,EDGE,CB,IOL
TEN,play_action,3-4,rebuild_bpa,QB,WR,EDGE
WAS,spread,4-3,bpa_analytics,OT,EDGE,CB
